code	producer_version_id	lc	product_name_de	product_name_en	product_name_fr	product_name_it	generic_name_de	generic_name_en	generic_name_fr	generic_name_nl	quantity	serving_size	packaging	packaging_tags	packaging_text_de	packaging_text_en	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_de	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_fr	ingredients_text_it	ingredients_text_nl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	calcium_value	calcium_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	conservation_conditions_fr	preparation_fr	customer_service_fr	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	sources_fields:org-gs1:gln	sources_fields:org-gs1:gpcCategoryCode	sources_fields:org-gs1:gpcCategoryName	sources_fields:org-gs1:partyName	data_sources
4260219133180		de	pop corn süss								120 g						Tedi Iljakl GmbH & Co. KG	tedi-iljakl-gmbh-co-kg		Imbiss, Popcorn	en:snacks,en:popcorn			Deutschland	en:germany			0									"Mais (69%), Zu (30%), pfianzliches Ol (Raps) (1%). Trocken agem, vor Sonnenlicht schützen. (C2)Sladká pražená kukuřice.Přísady:kufice (69%), azúcar (30%), aceite vegetal (colza) (1%). (E) Palomitas de maiz dulces, Ingredientes: maiz (69%), azúcar (30%), aceite vegetal (colza) (1%). Conservar en un lugar seco protegido del sol. / (CAT) Crispetes dolces, Ingredients: Blat de moro (69%), sucre (30%), oli vegetal (colza) (1%). Conserveu-ho en un lloc sec, protegiu-ho de la llum solar. (H) Édes Popcorn.Összetevők: Kukorica (69 %), cukor (30%), növényi olaj (repce) (1%). HR) Kokice slatke. Sastojci: Kukuruz(69%), (30%), olio vegetale (colza) (1%). Conservare in luogo asciutto, proteggere dalla luce solare. (P) Pipoca doce. Ingredientes: Milho (69%), açicar (30%), óleo vegetal (colza) (1%). Armazenar em local seco e proteger de radiação solar, (PL) Popcorn słodki. Składniki: kukurydza (09%). Przechowywać w w suchym miejscu. Chronic przed (SK) Kukuričné pukance sladké. Zloženie: chráňte pred sinečným svetlom. (SLO) Sladka pokovka. Sestavine: koruza (69%). svetlobo.. (rapiță) (1%). A se păstra la loc uscat A se feri de radiația solară."										100g	100g			394	kcal	3.7	g	0.6	g	80	g	30	g			6.5	g	0.03	g	0.012	g			394	kcal																															c	6	b	70		9230	-5	-15	1	0												App - yuka, Apps, App - Open Food Facts
7622201804893		de	Milka Popcorn,Knistert&Karamell														Milka	milka		"Imbiss, Süßer Snack, en:Cocoa and its products, Schokoladen"	en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates			Deutschland	en:germany			0																			100g	100g			526	kcal	28	g	17	g	61	g	59	g			5.7	g	0.38	g	0.152	g			526	kcal																											en:chocolate-products	en:sugary-snacks,en:chocolate-products			e	27	unknown				-5	-15	1	0												App - yuka, Apps
0705632114872		en																		Snacks, Popcorn	en:snacks,en:popcorn			Germany	en:germany			0										"oflanzliche Margarine (Palmfett&quot;, Kokosfett&quot;. Rapsol&quot;. Wasser. itronensaftkonzentrat), Lavendelblüte (0.5 %). Zitronenschale, Spuren von Schalenfrüchten üssen und Gluten enthalten. TATEN: Mais, Zucker, Invertzuckersirup. Glucosesirup. Reismi Karottensaftkonzentrat, Emulgator. Sonnenblumenlecithin&quot; In der Zwischenzeit kühl und trocken lagern. rotz aller Sorgfalt kann unser Popkorn nicht gepoppte Körner enthalten. Dein Knalle möchte knusprig bleiben, deswegen sind die Tüten Niederverschließbar. Nach dem Offnen innerhalb von 7 Tagen knuspern. HANDJEMACHT IN BERLIN Popkornditorei Knalle GmbH Raumerstraße 32, 10437 Berlin Glucosesirup. Reismi oflanzli Karottensaftkonzentrat . Emutgator, Sonnenblumenlees itronensaftkonzentrat), Lavendeibtute (0,5 %). Zitronense Salz, Grapefruitöl (0,1 2). aus kontrolliertem Anbau Mais ohne Gentechnik! Spuren von Schalenfrüchte NÄHRWERTE PRO 100 g ergiegehalt.... 1475 kJ/ 351 kcat 6.4g 2.5g 666g 341 g 559 0.2g ett davon gesättigte Fettsäuren (ohlenhydrate davon Zucker... Etweiß Salz sind die Tüten 7 AUFBEWAHRUNG"								off	100g	100g	1475	kJ			6.4	g	2.5	g	66.6	g	34.7	g			5.5	g	0.2	g	0.08	g			1475	kJ																															d	13	b	70		9230	-5	-15	1	0												App - Open Food Facts, Apps
4000996006525		de	Popcorn mit Vanille																					Deutschland	en:germany			0																			100g	100g			360	kcal	2.8	g	0.5	g	73	g	29	g			6.4	g	0	g	0	g			360	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
4305615760247		de	Erdbeer Popcorn Tee																					Deutschland	en:germany			0																			100g	100g			3	kcal	0.1	g	0.1	g	0.62	g	0.62	g			0.1	g							3	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
4250221300236		de	"Cinema Popcorn süß"																					Deutschland	en:germany			0																			100g	100g			501	kcal	25	g	1.9	g	59	g	29	g			5.5	g	0	g	0	g			501	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
4260350920724		de	Süss&Salzig Popcorn																			"Bio, EU-Öko-Verordnung, EG-Öko-Verordnung"	en:organic,en:eu-organic,en:eg-oko-verordnung	Deutschland	en:germany			0																			100g	100g			450	kcal	17	g	14	g	62	g	28	g			6.6	g	0.7	g	0.28	g			450	kcal																																	unknown				-5	-15	1	15												App - yuka, Apps
4306188361411		de	Popcorn																					Deutschland	en:germany			0																			100g	100g			414	kcal	6.2	g	0.7	g	84	g	57	g			3.8	g							414	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
4260535890095		de	Popcorn																					Deutschland	en:germany			0																			100g	100g			413	kcal	8.56	g	0	g	75	g	42.3	g			3.99	g	3.23	g	1.292	g			413	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
4306205209924		de	Popcorn Mais														Hofgut	hofgut						Deutschland	en:germany			0																			100g	100g			44	kcal	3.8	g	0.6	g	64	g	1	g			8.7	g							44	kcal																																	unknown				-5	-15	1	0												App - yuka, Apps
