code	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_hu	product_name_it	product_name_sl	generic_name_de	generic_name_en	generic_name_fr	quantity	serving_size	packaging	packaging_tags	packaging_text_de	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_de	origin_en	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_it	ingredients_text_sl	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	calcium_value	calcium_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
2245482002526	de	Salami im Käsemantel										110 g		Kunststoff	en:plastic		Rasting	rasting		Fleisch, Zubereitetes Fleisch, Aufschnitt	en:meats,en:prepared-meats,en:cut			Deutschland	en:germany	Picnic	picnic	0								DE EV-1376 EG	de-ev-1376-ec	"Schweinefleisch, jodiertes Nitritpökeisalz (Speisesalz, Kaliumjodat, Konservierungsstoff: E250), Gewürze, Dextrose, Glukosesirup, Zucker, Aromen, Antioxidationsmittel: E300/E301, Farbstoff: E120, Reifekulturen, Rauch 

Ummantelung: _KÄSE_ (mit Konservierungsstoff: E251, Farbstoff: E160a), Schweinegelatine, Rapsöl, Konservierungsstoff: E202"						Milch	en:milk	Sellerie, Senf	en:celery,en:mustard		100g	100g	1447	kJ	349	kcal	29	g	11	g	1	g	1	g			21	g	3.8	g	1.52	g			1447	kJ												en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	e	24	unknown				-5	-10	1	0								
20251215	de	Wrap schicken käse										190 g	190g	Kunststoff, Papier	en:plastic,en:paper		taste to go	taste-to-go		Fertiggerichte, Sandwiches, Sandwiche belegt mit Aufschnitt, Käse-Sandwiches, Schinkensandwich, Sandwiches mit Schinken und Käse	en:meals,en:sandwiches,en:sandwiches-filled-with-cold-cuts,en:cheese-sandwiches,en:ham-sandwiches,en:ham-and-cheese-sandwiches	FSC, FSC Mix	en:fsc,en:fsc-mix	Deutschland	en:germany	Norma	norma	0										"48% Spinat-Weizenfladen (Weizenmehl, Wasser, Rapsöl, Backtriebmittel: Diphosphate, Natriumcarbonate; 1% Spinatpulver, Traubenzucker, Speisesalz, Säuerungsmittel: Apfelsäure; getrocknete Zwiebeln, getrockneter Knoblauch, Kräuter, Gewürze), 12% Hinterkochschinken (Schweinefleisch, Nitritpökelsalz [Speisesalz, Konservierungsstoff: Natriumnitrit], Dextrose, Antioxidationsmittel: Natriumascorbat; Gewürzextrakte, Stabilisator: Diphosphate, Triphoshate), Salatmayonnaise (Rapsöl, Wasser, Eigelb, Zucker, Maisstärke, Branntweinessig [AT: Weingeistessig], Senf [Wasser, Senfsaaten, Branntweinessig {AT: Weingeistessig}, Speisesalz, Zucker, Gewürze], Speisesalz, Verdickungsmittel: Guarkernmehl; Gewürze), 7% Gouda, 7% Krautsalat (Weißkraut, Wasser, Zucker, Branntweinessig [AT: Weingeistessig], Rapsöl, Paprika, Speisesalz, Zwiebeln, Säuerungsmittel: Weinsäure [L+], Citronensäure, Äpfelsäure; Gewürze), 7% eingelegte Karottenstreifen (Karotten, Wasser, Speisesalz, Säuerungsmittel: Essigsäure, Citronensäure), 7% Schnittlauch-Speisequark Aufstrich (Rapsöl, 30% Speisequark, Wasser, Zucker, Eigelb, Zitronensaft, Branntweinessig [AT: Weingeistessig], 2,5% Schnittlauch, Senfsaaten, Verdickungsmittel: Guarkernmehl; Speisesalz, Gewürze), Stärke"						Eier, Gluten, Senf	en:eggs,en:gluten,en:mustard	Sellerie, Fisch, Lupinen, Schalenfrüchte, Sesam, Soja	en:celery,en:fish,en:lupin,en:nuts,en:sesame-seeds,en:soybeans		100g	100g			256	kcal	13.9	g	2.6	g	24.3	g	3.4	g			7.9	g	1.34	g	0.536	g			256	kcal												en:sandwiches	en:composite-foods,en:sandwiches	4	en:4-ultra-processed-food-and-drink-products	c	6	d	31		25576	-5	-11	1	0								App - yuka, Apps
4047247197892	de	Pastramie mit Gewürzkruste										100g	20g	Kunststoff	en:plastic		Gut Drei Eichen	gut-drei-eichen		Fleisch, Zubereitetes Fleisch, Aufschnitt	en:meats,en:prepared-meats,en:cut			Deutschland	en:germany			0										Rindfleisch', Speisesalz, Gewürze (Pfeffer, Paprika, Knoblauch, Koriander, Kümmel), Gewürzextrakte (Pfeffer, Paprika, Zwiebel, Bratzwiebel), Dextrose, Zwiebeln, Stabilisator: Triphosphate; Antioxidationsmittel: Natrium - ascorbat; Konservierungsstoff: Natriumnitrit. 'QS-Ware Brennw Fett - davon Fettsä Kann .								Sellerie, Senf	en:celery,en:mustard		serving	100g					0.5	g			0.5	g	0.5	g	0	g	4.4	g	0.42	g	0.168	g	0	% vol														en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products			unknown				-5	-10	1	0								App - Open Food Facts, Apps
4047247061315	de	Spanferkelbraten aus dem Schinken												Kunststoff	en:plastic					Fleisch, Zubereitetes Fleisch, Aufschnitt	en:meats,en:prepared-meats,en:cut	DLG, DLG Goldener Preis, DLG Goldener Preis 2018	en:german-agricultural-society,en:gold-medal-of-the-german-agricultural-society,en:2018-gold-medal-of-the-german-agricultural-society	Deutschland	en:germany			0																					100g	100g			122	kcal	5	g	1.8	g	1	g	1	g			18	g	2.3	g	0.92	g			122	kcal												en:processed-meat	en:fish-meat-eggs,en:processed-meat			d	12	unknown				-5	-10	1	0								App - yuka, Apps, App - Open Food Facts
4021851828786	de	Vegetarischer Aufschnitt auf Weizenbasis Paprika-Lyoner Art										80 g		Kunststoff	en:plastic		dennree	dennree		Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Fleisch-Ersatzprodukte, Vegetarische Würste	en:plant-based-foods-and-beverages,en:plant-based-foods,en:meat-analogues,en:vegetarian-sausages	"Bio, Vegetarisch, EU-Öko-Verordnung, Nicht EU-Landwirtschaft, BE-BIO-01, EU-Landwirtschaft, EU-/Nicht-EU-Landwirtschaft, Hergestellt in Belgien"	en:organic,en:vegetarian,en:eu-organic,en:non-eu-agriculture,en:be-bio-01,en:eu-agriculture,en:eu-non-eu-agriculture,en:made-in-belgium	Deutschland	en:germany	denns Biomarkt	denns-biomarkt	0						Belgien	belgien			"Wasser, Rapsöl 16%, rote Paprika 11%, _Weizenstärke_ 11%, _Hühnerei-Eiweißpulver_ 5%, Paprika 2,2%, Gewürze (weißer Pfeffer, Koriander, Ingwer, Knoblauch, Paprikapulver, Chili, Muskatnuss, Macis, Kardamom, Zwiebelpulver, Lauchpulver, Kurkuma), Meersalz, Rohrzucker, Essig, Maltodextrin, Sonnenblumenöl, Tomatensaftkonzentrat, Guarkernmehl"						Eier, Gluten	en:eggs,en:gluten	Sellerie, Senf, Schalenfrüchte	en:celery,en:mustard,en:nuts		100g	100g			193	kcal	14	g	1	g	12	g	0.6	g			4.8	g	1.9	g	0.76	g			193	kcal											https://www.dennree.de			4	en:4-ultra-processed-food-and-drink-products	c	8	unknown				-5	-10	1	15								App - yuka, Apps, App - Open Food Facts
4061458015530	de	Lyoner												Kunststoff	en:plastic		Meine Metzgerei	meine-metzgerei		Fleisch, Zubereitetes Fleisch, Würste, Aufschnitt	en:meats,en:prepared-meats,en:sausages,en:cut			Deutschland	en:germany			0																					100g	100g	885	kJ	214	kcal	19	g	7.8	g	1	g	0.8	g			10	g	1.8	g	0.72	g			885	kJ												en:processed-meat	en:fish-meat-eggs,en:processed-meat			d	16	unknown				-5	-10	1	0								App - yuka, Apps
4013832322673	de	Lieblingswurst												Kunststoff	en:plastic		Wolf	wolf		Fleisch, Zubereitetes Fleisch, Würste, Aufschnitt	en:meats,en:prepared-meats,en:sausages,en:cut			Deutschland	en:germany			0																					100g	100g	683	kJ	164	kcal	10	g	6.6	g	1	g	0.6	g			16.8	g	2.3	g	0.92	g			683	kJ												en:processed-meat	en:fish-meat-eggs,en:processed-meat			d	18	unknown				-5	-10	1	0								App - yuka, Apps
4313882253904	de	Ahle Wurst												Kunststoff	en:plastic		Pfieffetaler	pfieffetaler		Fleisch, Zubereitetes Fleisch, Würste, Aufschnitt	en:meats,en:prepared-meats,en:sausages,en:cut			Deutschland	en:germany			0																					100g	100g	1774	kJ	427	kcal	33.9	g	16.8	g	0.3	g	0.3	g			30.3	g	3.5	g	1.4	g			1774	kJ												en:processed-meat	en:fish-meat-eggs,en:processed-meat			e	25	unknown				-5	-10	1	0								App - yuka, Apps
4316268588348	de	Mortadella mit Pistazien										200 g		Kunststoff	en:plastic		Hofmaier	hofmaier		Fleisch, Zubereitetes Fleisch, Würste, fr:Charcuteries cuites, Aufschnitt, Mortadella	en:meats,en:prepared-meats,en:sausages,fr:charcuteries-cuites,en:cut,en:mortadella	DLG, DLG Goldener Preis, DLG Goldener Preis 2019	en:german-agricultural-society,en:gold-medal-of-the-german-agricultural-society,en:2019-gold-medal-of-the-german-agricultural-society	Deutschland	en:germany			0																					100g	100g	1090	kJ	263	kcal	23	g	9.2	g	1	g	1	g			13	g	2	g	0.8	g			1090	kJ												en:processed-meat	en:fish-meat-eggs,en:processed-meat			e	20	e	9		30789	-5	-10	1	0								App - yuka, Apps
4260389051178	de	Seiten Aufschnitt Pfeffer										100 g		Kunststoff	en:plastic		Grün Gold	grun-gold		Fleisch, Zubereitetes Fleisch, Aufschnitt	en:meats,en:prepared-meats,en:cut			Deutschland	en:germany			0										"Seitan 75 % (Weizeneiweiß, Wasser), Tomatenmark, Rapsöl, Sojasoße (Wasser, Sojabohnen, Salz, Weizenmehl), Dinkelvollkornmehl (Weizenart), grüne Pfefferkörner 2 %, Gewürze, Salz"						Gluten, Soja	en:gluten,en:soybeans				100g	100g			202	kcal	5.9	g	0.7	g	7.7	g	3.2	g	0.9	g	28.3	g	1.4	g	0.56	g			202	kcal												en:processed-meat	en:fish-meat-eggs,en:processed-meat	3	en:3-processed-foods	c	3	unknown				-5	-10	1	0								App - yuka, Apps, App - Open Food Facts
4316268494359	de	Rohschinken										85g	8,5g	Kunststoff, PET-A/PE/EVOH	en:plastic,de:pet-a-pe-evoh		Leichter Genuss Familie Wein Die Genussmanufaktur	leichter-genuss-familie-wein-die-genussmanufaktur		Fleisch, Zubereitetes Fleisch, Aufschnitt	en:meats,en:prepared-meats,en:cut			Deutschland	en:germany	Netto Marken-Discount	netto-marken-discount	0								DE EV 65 EG	de-ev-65-ec	"Schweinehinterschinken', Speisesalz, Dextrose, Gewürze, Gewürzextrakte. Konservierungsstoff: Natriumnitrit; Buchenholzrauch. 'QS-Ware, Durchschnittliche Nährwerte pro 100g % RM pro 100 g, Brennwert 635 kJ/150 kcal 8%, Fett 3,0g 4%, davon: gesättigte Fettsäuren Kohlenhydrate davon: Zucker Eiweiß Salz 1,2g 0,8 g 6% &lt;1% 0,2g 30,0 g 4,0g Referenzmenge für einen durchschnittlichen Erwachsenen &lt;1 % 60% 67 % (8400KJ/2000 kcal)"											100g	100g					3	g			0.8	g	0.2	g			30	g	4	g	1.6	g																en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products			unknown				-5	-8	0	0								App - yuka, Apps, App - Open Food Facts
29099733	de	Harms Holsteiner Schinkenmettwurst										80 g	20g	Kunststoff	en:plastic		HARMS	harms		Wurst Aufschnitt	de:wurst-aufschnitt	Grüner Punkt, Ohne Farbstoffzusatz, Ohne Geschmacksverstärker, Initiative Tierwohl, Atc, Ohne-aromazusatz, Qs	en:green-dot,en:no-colorings,en:no-flavour-enhancer,de:initiative-tierwohl,de:atc,de:ohne-aromazusatz,de:qs	Deutschland	en:germany	ALDI Nord	aldi-nord	0		Deutschland	en:germany			25469 Halstenbek	25469-halstenbek	DE EV 1279 EG	de-ev-1279-ec	Schweinefleisch, Nitritpökelsalz (Kochsalz, Konservierungsstoff: Natriumnitrit), getrockneter Glukosesirup, Pfeffer, Antioxidationsmittel: Natriumascorbat; Rum, Reifekulturen, Buchenholzrauch											100g	100g			275	kcal	21	g	8.6	g	1	g	1	g			19	g	3	g	1.2	g			275	kcal														4	en:4-ultra-processed-food-and-drink-products	e	21	unknown				19	-10	1	0								App - yuka, Apps, App - Open Food Facts
4061458014472	de	Schinkenspeck										80g	80g	Kunststoff	en:plastic		Abraham, Aldi	abraham,aldi		Fleisch, Zubereitetes Fleisch, Aufschnitt	en:meats,en:prepared-meats,en:cut			Deutschland	en:germany	Aldi	aldi	0								DE NI-33333 EC	de-ni-33333-ec	"Schweinefleisch Speisesalz. Dextrose, Zucker, Gewurze (Koriander, Wacholderbreren, Neiken, weißer Pfeffer), Antioxidationsmittel Natrumascorbat, Konservie rungsstoffe: Natriumnitrit Kaliumnitrat, Buchenholzrauch. Kann Spuren von Senf und Sellerie enthalten. OS Ware Unter Schutz atmosphare verpackt"								Sellerie, Senf	en:celery,en:mustard		100g	100g			223	kcal	15	g	5.6	g	1	g	1	g			21	g	5	g	2	g			223	kcal												en:processed-meat	en:fish-meat-eggs,en:processed-meat	4	en:4-ultra-processed-food-and-drink-products	d	17	unknown				-5	-10	1	0								App - yuka, Apps, App - Open Food Facts
